x,z
0.000000,1.841731
0.669523,2.275932
1.339045,2.542633
2.008568,2.629787
2.678090,2.497916
3.347613,2.238255
4.017135,2.499817
4.686658,2.974251
5.356180,2.649806
6.025703,2.611037
6.695226,2.670689
7.364748,2.736974
8.034271,2.506770
8.703793,2.664402
9.373316,2.859539
10.042838,2.949834
10.712361,3.401243
11.381884,3.350649
12.051406,3.075465
12.720929,2.812695
13.390451,2.388180
14.059974,2.354323
14.729496,2.517013
15.399019,2.494596
16.068541,2.593345
16.738064,2.550011
17.407587,2.437385
18.077109,2.677648
18.746632,2.597960
19.416154,2.742308
20.085677,3.225322
20.755199,3.407854
21.424722,3.194120
22.094244,2.959655
22.763767,2.934699
23.433290,2.466035
24.102812,2.409906
24.772335,2.508662
25.441857,2.446969
26.111380,2.527196
26.780902,2.680826
27.450425,2.744654
28.119947,2.301358
28.789470,2.359249
29.458993,2.317486
30.128515,2.183553
30.798038,2.686189
31.467560,2.542646
32.137083,2.512157
32.806605,2.898873
33.476128,3.155276
34.145651,3.297830
34.815173,3.377606
35.484696,3.432034
36.154218,3.524672
36.823741,3.670664
37.493263,3.795082
38.162786,3.763279
38.832308,3.216244
39.501831,3.306329
40.171354,3.913828
40.840876,4.156366
41.510399,3.901462
42.179921,3.723625
42.849444,3.750802
43.518966,3.643584
44.188489,3.830223
44.858011,3.936991
45.527534,3.751552
46.197057,3.794112
46.866579,4.215868
47.536102,4.657413
48.205624,4.696630
48.875147,4.682991
49.544669,5.070883
50.214192,5.388034
50.883715,4.452922
51.553237,4.483517
52.222760,4.565025
52.892282,4.560098
53.561805,4.632226
54.231327,4.444660
54.900850,4.096695
55.570372,3.649527
56.239895,3.507246
56.909418,3.363252
57.578940,3.230953
58.248463,3.121944
58.917985,2.858902
59.587508,2.864634
60.257030,3.077419
60.926553,3.416307
61.596075,3.789729
62.265598,3.776428
62.935121,3.587279
63.604643,4.016713
64.274166,4.243989
64.943688,4.388723
65.613211,4.445059
66.282733,4.162378
66.952256,4.370110
67.621778,4.502815
68.291301,4.266478
68.960824,4.040102
69.630346,4.391615
70.299869,4.790896
70.969391,4.676415
71.638914,4.806827
72.308436,4.895513
72.977959,4.912986
73.647482,4.817737
74.317004,4.634965
74.986527,4.312180
75.656049,3.945511
76.325572,3.993243
76.995094,4.147864
77.664617,4.085447
78.334139,3.763458
79.003662,4.119282
79.673185,4.312115
80.342707,4.578320
81.012230,5.092062
81.681752,4.931029
82.351275,4.890607
83.020797,4.914470
83.690320,4.925097
84.359842,5.173867
85.029365,5.180707
85.698888,5.055768
86.368410,5.230448
87.037933,5.776224
87.707455,6.120859
88.376978,6.156097
89.046500,6.074012
89.716023,6.202067
90.385546,6.307561
91.055068,6.285817
91.724591,6.351266
92.394113,6.423166
93.063636,6.430239
93.733158,6.295682
94.402681,6.260375
95.072203,6.596670
95.741726,6.983536
96.411249,6.782218
97.080771,6.629728
97.750294,6.421485
98.419816,6.181651
99.089339,6.064945
99.758861,6.173984
100.428384,6.171960
101.097906,5.970734
101.767429,5.823581
102.436952,5.738731
103.106474,5.773843
103.775997,5.967870
104.445519,5.364394
105.115042,5.157361
105.784564,5.068245
106.454087,4.741955
107.123609,4.810900
107.793132,4.846202
108.462655,4.871328
109.132177,5.037355
109.801700,5.060112
110.471222,5.157919
111.140745,5.306226
111.810267,5.102610
112.479790,5.089190
113.149313,4.918690
113.818835,4.475526
114.488358,4.575321
115.157880,4.521337
115.827403,4.563000
116.496925,4.930953
117.166448,4.875863
117.835970,5.026309
118.505493,5.286055
119.175016,5.468528
119.844538,5.130002
120.514061,4.923953
121.183583,4.864710
121.853106,4.712749
122.522628,4.844304
123.192151,4.895519
123.861673,4.818308
124.531196,5.129458
125.200719,5.152624
125.870241,5.046813
126.539764,4.900445
127.209286,4.927729
127.878809,5.081182
128.548331,5.050529
129.217854,4.438193
129.887377,4.522413
130.556899,4.492460
131.226422,4.460990
131.895944,4.826521
132.565467,4.888752
133.234989,4.994221
133.904512,5.156521
134.574034,5.111681
135.243557,5.263045
135.913080,5.512717
136.582602,5.782112
137.252125,5.470075
137.921647,5.311489
138.591170,5.481938
139.260692,6.155736
139.930215,6.122382
140.599737,5.949173
141.269260,5.845217
141.938783,6.146278
142.608305,6.047859
143.277828,6.285003
143.947350,6.638392
144.616873,6.140666
145.286395,6.396411
145.955918,6.678761
146.625441,6.763289
147.294963,6.438662
147.964486,6.427368
148.634008,6.602880
149.303531,6.892652
149.973053,6.732848
150.642576,6.829131
151.312098,7.230409
151.981621,8.028355
152.651144,7.711283
153.320666,7.629709
153.990189,7.805992
154.659711,8.166514
155.329234,7.924729
155.998756,7.685273
156.668279,7.617864
157.337801,8.028405
158.007324,8.186315
158.676847,8.258399
159.346369,8.308214
160.015892,8.407137
160.685414,8.212449
161.354937,7.963003
162.024459,7.826639
162.693982,7.739977
163.363504,7.652170
164.033027,7.657641
164.702550,7.908364
165.372072,8.160214
166.041595,8.525154
