x,z
0.000000,22.226391
0.668097,22.136543
1.336193,22.119127
2.004290,22.090467
2.672386,21.923641
3.340483,22.323772
4.008579,22.374001
4.676676,22.158632
5.344772,22.224619
6.012869,22.143709
6.680965,22.246304
7.349062,22.594725
8.017158,22.912378
8.685255,22.991999
9.353351,23.196903
10.021448,23.737070
10.689544,23.183638
11.357641,23.059153
12.025738,23.042589
12.693834,22.722395
13.361931,22.919838
14.030027,22.882208
14.698124,22.714521
15.366220,22.885534
16.034317,22.930433
16.702413,22.905882
17.370510,22.870880
18.038606,23.144011
18.706703,22.946568
19.374799,22.852566
20.042896,23.159845
20.710992,23.144079
21.379089,23.237392
22.047186,23.307579
22.715282,23.195053
23.383379,22.917810
24.051475,22.987869
24.719572,23.264690
25.387668,23.330393
26.055765,23.158627
26.723861,23.012297
27.391958,22.933245
28.060054,22.833076
28.728151,22.973206
29.396247,23.237103
30.064344,23.565975
30.732440,23.677927
31.400537,23.492012
32.068633,23.265676
32.736730,23.263655
33.404827,22.871155
34.072923,22.785831
34.741020,22.944744
35.409116,23.156242
36.077213,23.281378
36.745309,23.237392
37.413406,23.140656
38.081502,23.678263
38.749599,24.149567
39.417695,24.561508
40.085792,24.896090
40.753888,24.853857
41.421985,24.931334
42.090081,24.962147
42.758178,24.784824
43.426275,24.932041
44.094371,25.042582
44.762468,25.095335
45.430564,25.067228
46.098661,25.412132
46.766757,25.532242
47.434854,25.416643
48.102950,25.451046
48.771047,25.856186
49.439143,26.152531
50.107240,26.156759
50.775336,25.980095
51.443433,25.847687
52.111529,25.649508
52.779626,25.286371
53.447722,25.449360
54.115819,25.285372
54.783916,25.058897
55.452012,25.281431
56.120109,24.887287
56.788205,24.654490
57.456302,24.650185
58.124398,24.718992
58.792495,24.777266
59.460591,24.801798
60.128688,24.794868
60.796784,24.887678
61.464881,25.222847
62.132977,25.451435
62.801074,25.305038
63.469170,25.349249
64.137267,25.708641
64.805364,26.129299
65.473460,26.201843
66.141557,26.002619
66.809653,25.664455
67.477750,25.378759
68.145846,25.771355
68.813943,25.692888
69.482039,25.517824
70.150136,25.373993
70.818232,25.415983
71.486329,25.425945
72.154425,25.459852
72.822522,25.557529
73.490618,26.164312
74.158715,25.999964
74.826811,25.637724
75.494908,25.892233
76.163005,26.128838
76.831101,26.261501
77.499198,26.252602
78.167294,25.993330
78.835391,25.962376
79.503487,25.941185
80.171584,25.906616
80.839680,26.137453
81.507777,26.099558
82.175873,26.017323
82.843970,26.022997
83.512066,26.371105
84.180163,26.410666
84.848259,26.466496
85.516356,26.964594
86.184453,27.152613
86.852549,27.120808
87.520646,27.027308
88.188742,27.283670
88.856839,27.347229
89.524935,27.229065
90.193032,26.974119
90.861128,26.886942
91.529225,26.969936
92.197321,27.047716
92.865418,27.042252
93.533514,27.467999
94.201611,27.637280
94.869707,27.532156
95.537804,27.092321
96.205900,26.786915
96.873997,26.700174
97.542094,26.756805
98.210190,26.776440
98.878287,26.522154
99.546383,26.513554
100.214480,26.755520
100.882576,26.630539
101.550673,26.477390
102.218769,26.573610
102.886866,27.027788
103.554962,26.907316
104.223059,26.941265
104.891155,27.049063
105.559252,27.157993
106.227348,27.195456
106.895445,27.308615
107.563542,27.413418
108.231638,27.304180
108.899735,27.531813
109.567831,27.506222
110.235928,27.206404
110.904024,27.073805
111.572121,27.198772
112.240217,27.458254
112.908314,27.763153
113.576410,27.349188
114.244507,27.299503
114.912603,27.314344
115.580700,27.127707
116.248796,27.172937
116.916893,27.146456
117.584989,27.040806
118.253086,26.851196
118.921183,26.998384
119.589279,27.020342
120.257376,26.878902
120.925472,26.725227
121.593569,26.990950
122.261665,27.379116
122.929762,27.746189
123.597858,27.595602
124.265955,27.674290
124.934051,27.769728
125.602148,27.711014
126.270244,27.345125
126.938341,27.319595
127.606437,27.264183
128.274534,26.485132
128.942630,26.601210
129.610727,26.595263
130.278824,26.443516
130.946920,26.593855
131.615017,26.790766
132.283113,26.988453
132.951210,27.166105
133.619306,27.266354
134.287403,27.341253
134.955499,27.411545
135.623596,27.491735
136.291692,27.433374
136.959789,27.464762
137.627885,27.590454
138.295982,27.828064
138.964078,27.962191
139.632175,28.013863
140.300272,27.919559
140.968368,27.433483
141.636465,27.378389
142.304561,27.430738
142.972658,27.471489
143.640754,27.270290
144.308851,27.210316
144.976947,27.419071
145.645044,27.998016
146.313140,27.810354
146.981237,27.761457
147.649333,27.873194
148.317430,28.199553
148.985526,28.318146
149.653623,28.176208
150.321719,27.920286
150.989816,28.002491
151.657913,28.006176
152.326009,28.003531
152.994106,27.996912
153.662202,27.860182
154.330299,27.950520
154.998395,28.020733
155.666492,27.933006
156.334588,28.077774
157.002685,28.081116
157.670781,28.081205
158.338878,28.254263
159.006974,28.639771
159.675071,28.935604
160.343167,29.110117
161.011264,29.126835
161.679361,28.991669
162.347457,28.941284
163.015554,29.002039
163.683650,28.975006
164.351747,29.147457
165.019843,29.135368
165.687940,28.756422
166.356036,29.006474
167.024133,29.188801
167.692229,29.306477
168.360326,29.353712
169.028422,29.414585
169.696519,29.339638
170.364615,29.202095
171.032712,29.195433
171.700808,29.055708
172.368905,28.987299
173.037002,28.965420
173.705098,28.607821
174.373195,28.848942
175.041291,28.985367
175.709388,28.725771
176.377484,29.002947
177.045581,29.069733
177.713677,29.179148
178.381774,29.592581
179.049870,29.277729
179.717967,29.412399
180.386063,29.762434
181.054160,29.721598
181.722256,29.808462
182.390353,29.788931
183.058450,29.646406
183.726546,29.505089
184.394643,29.487354
185.062739,29.588116
185.730836,29.795654
186.398932,29.835756
187.067029,29.997604
187.735125,30.165833
188.403222,30.237713
189.071318,29.751585
189.739415,29.870102
190.407511,30.214739
191.075608,29.999601
191.743704,29.853161
192.411801,29.768349
193.079897,29.763651
193.747994,29.929644
194.416091,29.944372
195.084187,29.949245
195.752284,29.976686
196.420380,29.778284
197.088477,29.984346
197.756573,30.404488
198.424670,30.911575
199.092766,30.843115
199.760863,30.938242
200.428959,31.006319
201.097056,30.681849
201.765152,30.569170
202.433249,30.491573
203.101345,30.437500
203.769442,30.456755
204.437539,30.535278
205.105635,30.471062
205.773732,30.244211
206.441828,30.407337
207.109925,30.658125
207.778021,30.787498
208.446118,30.635218
209.114214,30.382973
209.782311,30.582823
210.450407,30.889561
211.118504,30.766956
211.786600,30.644196
212.454697,30.622599
213.122793,30.626108
213.790890,30.359442
214.458986,30.585226
215.127083,30.641916
215.795180,30.374449
216.463276,30.176792
217.131373,30.501448
217.799469,30.760147
218.467566,30.578402
219.135662,30.504118
219.803759,30.460081
220.471855,30.468494
221.139952,30.568108
221.808048,30.452866
222.476145,30.598606
223.144241,30.884113
223.812338,30.823536
224.480434,30.735039
225.148531,30.651884
225.816628,30.541031
226.484724,30.093786
227.152821,29.995659
227.820917,29.972916
228.489014,29.879139
229.157110,29.852228
229.825207,29.871138
230.493303,29.947956
231.161400,30.106215
231.829496,30.307016
232.497593,30.396017
233.165689,30.419338
233.833786,30.524195
234.501882,30.406967
235.169979,30.605967
235.838075,31.132843
236.506172,31.245592
237.174269,31.138409
237.842365,31.021927
238.510462,30.998020
239.178558,30.926590
239.846655,30.777697
240.514751,30.736282
241.182848,31.023739
241.850944,30.862190
242.519041,30.498182
243.187137,30.222069
243.855234,30.707556
244.523330,30.594057
245.191427,30.584810
245.859523,30.765772
246.527620,30.826769
247.195716,30.597130
247.863813,30.636393
248.531910,31.180485
249.200006,31.444950
249.868103,31.509949
250.536199,31.529949
251.204296,31.651762
251.872392,32.036209
252.540489,32.280209
253.208585,32.355274
253.876682,32.214619
254.544778,32.273907
255.212875,32.139904
255.880971,31.877827
256.549068,32.137928
257.217164,31.851103
257.885261,31.494877
258.553358,31.255367
259.221454,31.059456
259.889551,31.162666
260.557647,31.154253
261.225744,30.658611
261.893840,30.542820
262.561937,30.565287
263.230033,30.696833
263.898130,30.912613
264.566226,30.583916
265.234323,30.535112
265.902419,30.710041
266.570516,30.345491
267.238612,30.668247
267.906709,30.812468
268.574805,30.505297
269.242902,30.387606
269.910999,30.509184
270.579095,30.613840
271.247192,30.499317
271.915288,30.469906
272.583385,30.644695
273.251481,30.800472
273.919578,30.544947
274.587674,30.540913
275.255771,30.662983
275.923867,30.887985
276.591964,31.201317
277.260060,31.208378
277.928157,31.171635
278.596253,31.174597
279.264350,31.218540
279.932447,31.333302
280.600543,31.352407
281.268640,31.150955
281.936736,31.422348
282.604833,31.569613
283.272929,31.674395
283.941026,31.861515
284.609122,32.174694
285.277219,32.227303
285.945315,32.126686
286.613412,32.356392
287.281508,32.098125
287.949605,31.921362
288.617701,31.977428
289.285798,32.134956
289.953894,32.211319
290.621991,32.007118
291.290088,31.384979
291.958184,31.660723
292.626281,31.325577
293.294377,30.944870
293.962474,31.294565
294.630570,30.943762
295.298667,30.815395
295.966763,30.873314
296.634860,30.780184
297.302956,30.868523
297.971053,31.125015
298.639149,31.491793
299.307246,31.548807
299.975342,31.789618
300.643439,32.020203
301.311536,32.133263
301.979632,32.210163
302.647729,32.206516
303.315825,32.202858
303.983922,32.298199
304.652018,32.160854
305.320115,31.890968
305.988211,31.608061
306.656308,31.605436
307.324404,31.206501
307.992501,31.048197
308.660597,31.197941
309.328694,31.166224
309.996790,30.891745
310.664887,30.601454
311.332983,30.419689
312.001080,30.672129
312.669177,30.713083
313.337273,30.652899
314.005370,30.597750
314.673466,30.866322
315.341563,31.179949
316.009659,31.393112
316.677756,31.186680
317.345852,31.219866
318.013949,31.171011
318.682045,31.070511
319.350142,31.428867
320.018238,31.265455
320.686335,31.083935
321.354431,31.100412
322.022528,31.149725
322.690625,31.178034
323.358721,31.146532
324.026818,31.009466
324.694914,30.383871
325.363011,30.234652
326.031107,30.345186
326.699204,30.208580
327.367300,29.922758
328.035397,29.670168
328.703493,29.468550
329.371590,29.254900
330.039686,29.382008
330.707783,29.376591
331.375879,29.081305
332.043976,29.093445
332.712072,28.898802
333.380169,28.692982
334.048266,28.643398
334.716362,28.667831
335.384459,28.884617
336.052555,29.032532
336.720652,28.600443
337.388748,28.920082
338.056845,29.064091
338.724941,29.032028
339.393038,29.388372
340.061134,29.465624
340.729231,29.542850
341.397327,29.688644
342.065424,29.533932
342.733520,29.527683
343.401617,29.487352
344.069714,29.269207
344.737810,29.214779
345.405907,29.362049
346.074003,29.540794
346.742100,29.465605
347.410196,29.873066
348.078293,29.903440
348.746389,29.575140
349.414486,29.326487
350.082582,29.245167
350.750679,29.211727
351.418775,29.217651
352.086872,29.530886
352.754968,29.394844
353.423065,29.354496
354.091161,29.789856
354.759258,29.689684
355.427355,29.803419
356.095451,30.054581
356.763548,30.343100
357.431644,30.526649
358.099741,30.568340
358.767837,30.534113
359.435934,30.642967
360.104030,30.806580
360.772127,30.789934
361.440223,30.587555
362.108320,30.745533
362.776416,30.826954
363.444513,30.761505
364.112609,30.500620
364.780706,30.710924
365.448802,30.865227
366.116899,31.001291
366.784996,31.167738
367.453092,31.065065
368.121189,31.005703
368.789285,30.984272
369.457382,30.908194
370.125478,30.815760
370.793575,30.610586
371.461671,30.359051
372.129768,30.712940
372.797864,30.795277
373.465961,30.858253
374.134057,31.037884
374.802154,31.309145
375.470250,31.397373
376.138347,31.282707
376.806444,30.911844
377.474540,31.221970
378.142637,31.493174
378.810733,31.599569
379.478830,31.327480
380.146926,31.207952
380.815023,31.106102
381.483119,30.976543
382.151216,30.722128
382.819312,30.430771
383.487409,30.374504
384.155505,30.681198
384.823602,30.747719
385.491698,30.737034
386.159795,30.765354
386.827891,30.962667
387.495988,31.024490
388.164085,31.227985
388.832181,31.448484
389.500278,31.363590
390.168374,31.241312
390.836471,30.992985
391.504567,30.674004
392.172664,30.670759
392.840760,30.702099
393.508857,30.677069
394.176953,30.556749
394.845050,30.431829
395.513146,30.227545
396.181243,29.941076
396.849339,29.558769
397.517436,29.570221
398.185533,29.173342
398.853629,28.684439
399.521726,28.813734
400.189822,28.889822
400.857919,28.928448
401.526015,28.894461
402.194112,28.608688
402.862208,28.853958
403.530305,29.032560
404.198401,28.946367
404.866498,29.177521
405.534594,29.310200
406.202691,29.346483
406.870787,29.276350
407.538884,29.895241
408.206980,30.120314
408.875077,30.025663
409.543174,29.754980
410.211270,29.497879
410.879367,29.402466
411.547463,29.492207
