x,z
0.000000,18.058998
0.666674,17.816183
1.333347,17.741592
2.000021,17.683659
2.666694,17.408323
3.333368,17.892370
4.000041,18.099957
4.666715,18.015484
5.333388,17.998032
6.000062,18.103474
6.666735,18.241892
7.333409,18.424572
8.000082,19.083374
8.666756,19.138124
9.333430,19.039581
10.000103,19.113604
10.666777,19.233923
11.333450,19.266312
12.000124,19.126553
12.666797,18.636337
13.333471,19.070181
14.000144,19.088509
14.666818,18.757624
15.333491,19.236057
16.000165,18.680273
16.666839,18.258188
17.333512,18.413410
18.000186,18.835251
18.666859,18.739206
19.333533,18.632111
20.000206,18.976080
20.666880,18.905756
21.333553,18.921785
22.000227,18.962276
22.666900,18.852081
23.333574,18.437689
24.000247,18.522377
24.666921,19.055462
25.333595,18.959249
26.000268,18.891430
26.666942,18.942081
27.333615,19.136940
28.000289,18.885172
28.666962,19.057365
29.333636,19.386700
30.000309,19.606014
30.666983,19.914057
31.333656,19.900887
32.000330,19.764278
32.667003,20.061321
33.333677,19.691935
34.000351,19.525902
34.667024,19.713013
35.333698,19.920780
36.000371,19.611090
36.667045,19.385916
37.333718,19.573658
38.000392,19.847134
38.667065,20.128508
39.333739,20.430786
40.000412,20.774221
40.667086,20.490879
41.333759,20.568148
42.000433,20.837858
42.667107,20.540834
43.333780,21.063591
44.000454,21.409510
44.667127,21.363297
45.333801,21.452402
46.000474,21.583017
46.667148,21.580250
47.333821,21.318970
48.000495,21.654411
48.667168,21.929924
49.333842,22.053329
50.000516,21.856915
50.667189,21.687479
51.333863,21.667629
52.000536,21.739159
52.667210,21.646179
53.333883,21.242689
54.000557,20.985861
54.667230,21.039316
55.333904,21.479132
56.000577,20.976730
56.667251,20.403719
57.333924,20.418526
58.000598,20.655479
58.667272,20.651676
59.333945,20.608372
60.000619,20.906355
60.667292,20.900856
61.333966,20.934967
62.000639,21.012810
62.667313,20.927616
63.333986,20.796682
64.000660,20.977888
64.667333,21.582373
65.334007,21.873642
66.000680,21.668802
66.667354,21.333979
67.334028,21.185520
68.000701,21.293877
68.667375,21.227703
69.334048,21.070873
70.000722,21.029400
70.667395,21.278446
71.334069,21.442696
72.000742,21.464058
72.667416,21.400925
73.334089,21.732586
74.000763,21.730488
74.667436,21.104839
75.334110,21.581598
76.000784,21.984449
76.667457,22.242678
77.334131,22.256315
78.000804,21.892996
78.667478,22.000984
79.334151,22.320837
80.000825,22.079834
80.667498,22.236729
81.334172,22.476421
82.000845,22.679869
82.667519,22.518425
83.334193,22.642380
84.000866,22.701319
84.667540,22.518867
85.334213,23.083378
86.000887,23.080257
86.667560,22.845123
87.334234,22.779215
88.000907,23.012398
88.667581,23.517584
89.334254,23.954517
90.000928,23.282324
90.667601,23.319487
91.334275,23.382837
92.000949,23.297005
92.667622,23.147659
93.334296,23.292755
94.000969,23.495373
94.667643,23.609509
95.334316,23.555260
96.000990,23.325115
96.667663,23.103304
97.334337,23.179367
98.001010,22.829941
98.667684,22.435205
99.334357,22.265736
100.001031,23.171806
100.667705,22.786947
101.334378,22.424746
102.001052,22.504143
102.667725,22.889944
103.334399,22.590239
104.001072,22.232407
104.667746,22.289755
105.334419,22.651846
106.001093,22.754755
106.667766,22.816751
107.334440,23.253038
108.001114,23.326542
108.667787,23.347483
109.334461,23.336521
110.001134,23.177046
110.667808,22.900337
111.334481,22.873287
112.001155,23.216145
112.667828,23.336319
113.334502,23.238804
114.001175,23.185822
114.667849,23.423475
115.334522,23.482630
116.001196,23.480083
116.667870,23.307838
117.334543,22.693897
118.001217,22.695215
118.667890,22.838106
119.334564,23.010235
120.001237,23.075029
120.667911,22.980074
121.334584,22.924564
122.001258,23.003031
122.667931,23.208393
123.334605,23.193588
124.001278,23.136387
124.667952,23.224770
125.334626,23.307934
126.001299,22.939756
126.667973,22.366863
127.334646,22.264065
128.001320,21.763193
128.667993,21.657398
129.334667,21.943268
130.001340,21.358805
130.668014,21.507891
131.334687,21.839455
132.001361,22.074335
132.668034,22.443336
133.334708,22.844894
134.001382,23.030836
134.668055,22.641905
135.334729,23.194435
136.001402,23.294491
136.668076,23.002237
137.334749,22.831636
138.001423,23.039173
138.668096,23.167765
139.334770,23.128468
140.001443,23.243677
140.668117,22.985949
141.334791,22.791151
142.001464,22.944454
142.668138,23.009895
143.334811,22.990458
144.001485,22.906904
144.668158,22.781717
145.334832,23.215229
146.001505,23.512842
146.668179,23.612656
147.334852,23.567764
148.001526,24.068573
148.668199,24.426071
149.334873,24.445524
150.001547,24.541477
150.668220,24.249464
151.334894,24.127354
152.001567,24.622822
152.668241,24.539471
153.334914,24.353521
154.001588,24.244326
154.668261,24.536900
155.334935,24.280376
156.001608,24.339334
156.668282,24.673279
157.334955,24.547421
158.001629,24.532677
158.668303,24.526781
159.334976,24.522957
160.001650,25.015642
160.668323,25.143501
161.334997,25.122702
162.001670,25.129566
162.668344,25.017551
163.335017,25.014114
164.001691,25.173170
164.668364,25.617800
165.335038,25.247713
166.001711,25.221102
166.668385,25.596424
167.335059,25.533066
168.001732,25.579700
168.668406,25.575766
169.335079,25.449921
170.001753,25.359362
170.668426,25.244577
171.335100,25.098230
172.001773,24.908161
172.668447,25.061960
173.335120,25.021591
174.001794,25.018629
174.668468,25.742945
175.335141,25.621771
176.001815,25.552124
176.668488,25.630589
177.335162,25.144453
178.001835,25.353428
178.668509,25.558798
179.335182,25.394567
180.001856,25.585638
180.668529,25.649429
181.335203,25.673531
182.001876,25.766323
182.668550,26.010048
183.335224,25.966249
184.001897,25.829332
184.668571,26.300077
185.335244,26.254147
186.001918,26.139513
186.668591,26.081312
187.335265,26.122540
188.001938,26.169201
188.668612,26.062195
189.335285,25.684776
190.001959,26.071621
190.668632,26.302446
191.335306,26.347281
192.001980,26.130648
192.668653,26.214455
193.335327,26.360302
194.002000,26.513613
194.668674,26.579109
195.335347,26.679274
196.002021,26.590630
196.668694,26.294506
197.335368,26.489059
198.002041,27.051933
198.668715,27.380287
199.335388,26.983511
200.002062,27.185104
200.668736,27.172178
201.335409,27.027880
202.002083,26.914112
202.668756,26.507778
203.335430,26.402521
204.002103,26.645624
204.668777,27.076773
205.335450,26.906979
206.002124,26.720760
206.668797,26.745897
207.335471,26.996201
208.002145,26.773840
208.668818,26.594292
209.335492,26.935572
210.002165,26.763145
210.668839,26.717974
211.335512,26.746447
212.002186,26.686972
212.668859,26.610146
213.335533,26.412043
214.002206,26.180830
214.668880,26.498468
215.335553,26.490396
216.002227,26.287687
216.668901,25.971825
217.335574,26.410067
218.002248,26.552982
218.668921,26.403027
219.335595,25.916557
220.002268,26.267988
220.668942,26.426905
221.335615,26.354628
222.002289,26.086233
222.668962,26.841393
223.335636,27.094749
224.002309,26.683578
224.668983,26.873850
225.335657,26.999681
226.002330,26.869732
226.669004,26.377682
227.335677,26.520885
228.002351,26.571653
228.669024,26.598366
229.335698,26.686390
230.002371,26.572109
230.669045,26.482836
231.335718,26.439314
232.002392,26.448151
232.669066,26.388199
233.335739,26.469412
234.002413,26.678862
234.669086,26.386402
235.335760,26.657320
236.002433,26.977533
236.669107,27.022863
237.335780,26.992830
238.002454,26.949472
238.669127,26.884869
239.335801,26.783958
240.002474,26.784622
240.669148,26.814142
241.335822,26.824993
242.002495,26.672421
242.669169,26.400389
243.335842,26.486025
244.002516,26.980974
244.669189,26.544207
245.335863,26.692699
246.002536,27.055222
246.669210,27.373667
247.335883,27.011614
248.002557,27.146994
248.669230,27.522354
249.335904,27.660269
250.002578,27.602972
250.669251,27.618736
251.335925,27.780653
252.002598,28.244873
252.669272,28.304892
253.335945,28.340839
254.002619,28.477705
254.669292,28.384300
255.335966,28.247229
256.002639,28.111710
256.669313,28.019165
257.335986,27.808416
258.002660,27.775381
258.669334,27.790491
259.336007,27.553930
260.002681,27.553915
260.669354,27.441647
261.336028,27.224001
262.002701,27.285191
262.669375,27.034569
263.336048,27.070032
264.002722,27.623842
264.669395,27.129061
265.336069,26.879787
266.002743,26.722744
266.669416,26.504797
267.336090,26.817493
268.002763,26.818544
268.669437,26.582533
269.336110,26.403160
270.002784,26.577568
270.669457,26.568106
271.336131,26.284351
272.002804,25.953375
272.669478,26.228033
273.336151,26.567883
274.002825,26.683933
274.669499,26.530851
275.336172,26.431597
276.002846,26.465719
276.669519,26.758120
277.336193,26.965506
278.002866,26.870613
278.669540,26.677071
279.336213,27.053221
280.002887,27.494940
280.669560,27.664427
281.336234,27.519232
282.002907,27.550585
282.669581,27.430864
283.336255,27.512304
284.002928,28.039656
284.669602,27.991631
285.336275,27.908142
286.002949,27.902336
286.669622,28.162945
287.336296,28.268957
288.002969,28.175343
288.669643,28.059631
289.336316,28.589457
290.002990,28.750109
290.669663,28.577301
291.336337,28.157831
292.003011,28.497604
292.669684,27.936113
293.336358,27.465765
294.003031,27.857811
294.669705,27.335730
295.336378,27.348289
296.003052,27.530779
296.669725,27.187271
297.336399,26.970615
298.003072,27.142897
298.669746,27.629913
299.336420,27.951216
300.003093,28.140825
300.669767,28.110134
301.336440,27.847944
302.003114,27.923487
302.669787,27.854904
303.336461,27.804386
304.003134,27.922964
304.669808,27.464560
305.336481,27.227531
306.003155,27.158525
306.669828,27.096746
307.336502,27.060360
308.003176,26.979008
308.669849,26.876505
309.336523,26.954374
310.003196,26.520273
310.669870,26.113943
311.336543,25.979229
312.003217,25.935593
312.669890,25.969612
313.336564,26.120153
314.003237,26.447960
314.669911,26.685453
315.336584,27.072996
316.003258,27.426090
316.669932,27.225403
317.336605,27.104790
318.003279,27.125240
318.669952,27.281713
319.336626,27.434725
320.003299,27.470423
320.669973,27.338943
321.336646,27.009165
322.003320,27.003218
322.669993,27.041706
323.336667,27.066549
324.003341,26.999077
324.670014,26.338387
325.336688,26.113409
326.003361,26.226461
326.670035,26.143326
327.336708,25.850945
328.003382,25.629444
328.670055,25.498238
329.336729,24.957226
330.003402,25.132475
330.670076,25.332355
331.336749,25.116838
332.003423,25.227545
332.670097,24.878693
333.336770,24.431433
334.003444,24.435511
334.670117,24.594301
335.336791,24.738567
336.003464,24.723536
336.670138,24.073299
337.336811,24.663038
338.003485,25.077772
338.670158,24.951439
339.336832,25.448837
340.003505,25.419033
340.670179,25.341322
341.336853,25.576508
342.003526,25.447687
342.670200,25.234848
343.336873,25.054935
344.003547,25.117809
344.670220,25.002558
345.336894,25.194357
346.003567,25.573313
346.670241,25.299690
347.336914,25.468742
348.003588,25.495888
348.670261,25.168667
349.336935,24.858721
350.003609,24.638557
350.670282,24.654333
351.336956,25.073906
352.003629,25.275055
352.670303,25.132410
353.336976,24.898750
354.003650,25.117920
354.670323,25.419640
355.336997,25.561481
356.003670,25.570074
356.670344,25.831949
357.337018,26.077915
358.003691,26.185266
358.670365,26.102850
359.337038,26.220474
360.003712,26.209427
360.670385,26.236189
361.337059,26.488226
362.003732,26.511852
362.670406,26.672834
363.337079,26.792179
364.003753,26.342579
364.670426,26.317835
365.337100,26.524408
366.003774,26.870661
366.670447,27.012543
367.337121,26.855330
368.003794,26.651371
368.670468,26.528606
369.337141,26.237026
370.003815,26.228661
370.670488,26.259361
371.337162,26.017031
372.003835,26.028366
372.670509,26.200708
373.337182,26.426363
374.003856,26.409288
374.670530,26.532112
375.337203,26.757254
376.003877,26.983969
376.670550,26.426300
377.337224,26.574465
378.003897,26.760183
378.670571,26.559410
379.337244,26.465189
380.003918,26.415028
380.670591,26.352032
381.337265,26.185707
382.003938,26.314854
382.670612,26.129843
383.337286,25.756620
384.003959,25.898781
384.670633,26.156288
385.337306,26.264801
386.003980,26.167095
386.670653,26.262783
387.337327,26.492809
388.004000,26.895500
388.670674,27.521328
389.337347,27.115208
390.004021,26.861609
390.670695,26.637714
391.337368,26.178831
392.004042,26.211370
392.670715,26.333233
393.337389,26.450882
394.004062,26.418524
394.670736,26.169724
395.337409,25.753422
396.004083,25.196722
396.670756,24.788534
397.337430,24.666906
398.004103,24.596773
398.670777,24.370426
399.337451,23.992298
400.004124,24.133596
400.670798,24.433184
401.337471,24.074083
402.004145,24.242752
402.670818,24.412951
403.337492,24.507492
404.004165,24.632757
404.670839,24.560293
405.337512,24.561367
406.004186,24.759289
406.670859,24.971571
407.337533,25.494568
408.004207,25.884165
408.670880,25.633913
409.337554,25.491608
410.004227,25.230507
410.670901,25.008345
411.337574,25.273653
412.004248,25.463680
412.670921,25.517883
413.337595,25.488514
414.004268,25.829184
414.670942,25.901728
415.337615,25.869619
416.004289,25.807747
416.670963,25.483988
417.337636,25.242451
418.004310,25.134819
418.670983,25.250040
419.337657,25.192892
420.004330,24.998253
420.671004,24.641367
421.337677,24.013203
422.004351,23.751413
422.671024,23.630367
423.337698,23.533121
424.004372,22.957977
424.671045,22.772600
425.337719,22.643513
426.004392,22.362684
