x,z
0.000000,-3.254087
0.669521,-3.483036
1.339042,-3.364652
2.008563,-3.216303
2.678084,-3.490577
3.347605,-3.036230
4.017126,-2.825427
4.686647,-2.821472
5.356168,-2.692101
6.025689,-2.657196
6.695210,-2.545209
7.364731,-2.387585
8.034253,-2.626153
8.703774,-2.621947
9.373295,-2.561702
10.042816,-2.532298
10.712337,-2.562867
11.381858,-2.571159
12.051379,-2.487424
12.720900,-2.234229
13.390421,-2.204154
14.059942,-2.249005
14.729463,-2.358864
15.398984,-2.534267
16.068505,-2.548014
16.738026,-2.511664
17.407547,-2.401962
18.077068,-2.060131
18.746589,-1.968524
19.416110,-2.103109
20.085631,-2.388463
20.755152,-2.122141
21.424673,-1.984288
22.094194,-1.961034
22.763715,-2.050799
23.433237,-2.046357
24.102758,-2.060897
24.772279,-2.110163
25.441800,-2.219107
26.111321,-2.603781
26.780842,-2.752053
27.450363,-2.690686
28.119884,-2.562919
28.789405,-2.639561
29.458926,-2.670838
30.128447,-2.633695
30.797968,-2.688296
31.467489,-2.647948
32.137010,-2.616784
32.806531,-2.628370
33.476052,-2.482908
34.145573,-2.542533
34.815094,-2.586270
35.484615,-2.421531
36.154136,-2.045273
36.823657,-2.036429
37.493178,-2.123631
38.162700,-1.821015
38.832221,-1.830009
39.501742,-1.912505
40.171263,-1.999247
40.840784,-1.955510
41.510305,-1.940846
42.179826,-1.859993
42.849347,-1.697222
43.518868,-1.565654
44.188389,-1.563212
44.857910,-1.589054
45.527431,-1.587241
46.196952,-1.583370
46.866473,-1.658839
47.535994,-1.623194
48.205515,-1.237198
48.875036,-1.223520
49.544557,-1.019349
50.214078,-0.708334
50.883599,-0.556012
51.553120,-0.520853
52.222641,-0.492099
52.892162,-0.475008
53.561684,-0.596985
54.231205,-0.630866
54.900726,-0.717649
55.570247,-0.913765
56.239768,-1.185786
56.909289,-1.272635
57.578810,-1.324890
58.248331,-1.456954
58.917852,-1.827140
59.587373,-1.972856
60.256894,-2.026911
60.926415,-2.199252
61.595936,-2.323721
62.265457,-2.375362
62.934978,-2.320337
63.604499,-2.047900
64.274020,-1.979126
64.943541,-1.918931
65.613062,-1.827533
66.282583,-1.785989
66.952104,-1.400283
67.621625,-1.039725
68.291146,-0.902727
68.960668,-0.983107
69.630189,-0.971574
70.299710,-0.864434
70.969231,-0.645642
71.638752,-0.772440
72.308273,-0.596023
72.977794,-0.365586
73.647315,-0.675726
74.316836,-0.495507
74.986357,-0.578508
75.655878,-0.884104
76.325399,-0.690901
76.994920,-0.812892
77.664441,-0.913256
78.333962,-0.895166
79.003483,-1.046921
79.673004,-1.100678
80.342525,-1.156893
81.012046,-1.287053
81.681567,-1.441616
82.351088,-1.370449
83.020609,-1.120165
83.690130,-0.737455
84.359652,-0.793407
85.029173,-0.728392
85.698694,-0.597967
86.368215,-0.708226
87.037736,-0.513444
87.707257,-0.359536
88.376778,-0.306308
89.046299,-0.209741
89.715820,0.124157
90.385341,0.479493
91.054862,0.745318
91.724383,0.763821
92.393904,0.791609
93.063425,0.881138
93.732946,1.090817
94.402467,1.082270
95.071988,1.136368
95.741509,1.195786
96.411030,1.128423
97.080551,1.231607
97.750072,1.363954
98.419593,1.450772
99.089115,1.276904
99.758636,1.264425
100.428157,1.149774
101.097678,0.873115
101.767199,0.726895
102.436720,0.679623
103.106241,0.651716
103.775762,0.591802
104.445283,0.336681
105.114804,0.158509
105.784325,0.070011
106.453846,0.099510
107.123367,-0.074685
107.792888,-0.228012
108.462409,-0.308842
109.131930,-0.220382
109.801451,-0.324723
110.470972,-0.484218
111.140493,-0.643223
111.810014,-0.653187
112.479535,-0.674362
113.149056,-0.557562
113.818577,-0.268969
114.488099,-0.500178
115.157620,-0.414093
115.827141,-0.376174
116.496662,-0.713700
117.166183,-0.825463
117.835704,-0.907219
118.505225,-0.906371
119.174746,-0.708606
119.844267,-0.702060
120.513788,-0.640178
121.183309,-0.561999
121.852830,-0.720804
122.522351,-0.439406
123.191872,-0.351133
123.861393,-0.587764
124.530914,-0.630078
125.200435,-0.493258
125.869956,-0.322250
126.539477,-0.201330
127.208998,-0.183348
127.878519,-0.187285
128.548040,-0.263272
129.217561,-0.480977
129.887083,-0.310435
130.556604,-0.352858
131.226125,-0.513622
131.895646,-0.487567
132.565167,-0.559554
133.234688,-0.525830
133.904209,-0.399296
134.573730,-0.438809
135.243251,-0.269588
135.912772,-0.037133
136.582293,0.182872
137.251814,0.112856
137.921335,0.213264
138.590856,0.408691
139.260377,0.648703
139.929898,0.586805
140.599419,0.452792
141.268940,0.405599
141.938461,0.709637
142.607982,0.843239
143.277503,0.734669
143.947024,0.513672
144.616545,0.612569
145.286067,0.786893
145.955588,0.928720
146.625109,0.986510
147.294630,0.803913
147.964151,0.748169
148.633672,0.853482
149.303193,1.125735
149.972714,0.780746
150.642235,0.763581
151.311756,1.000178
151.981277,1.441943
152.650798,1.456529
153.320319,1.556703
153.989840,1.757117
154.659361,2.043468
155.328882,1.932238
155.998403,2.025576
156.667924,2.325801
157.337445,2.389543
158.006966,2.324095
158.676487,2.257758
159.346008,2.234657
160.015529,2.218904
160.685051,2.288886
161.354572,2.375072
162.024093,2.428624
162.693614,2.523144
163.363135,2.489734
164.032656,2.442872
164.702177,2.552444
165.371698,2.639036
166.041219,2.700135
166.710740,2.709175
167.380261,2.582535
168.049782,2.612735
168.719303,2.639397
169.388824,2.623452
170.058345,2.564532
170.727866,2.642105
171.397387,2.785873
172.066908,2.950424
172.736429,2.789639
173.405950,2.755083
174.075471,2.880479
174.744992,3.218782
175.414514,3.002540
176.084035,2.819204
176.753556,2.689673
177.423077,2.614690
178.092598,2.798946
178.762119,2.888918
179.431640,2.864479
180.101161,2.853961
180.770682,2.902225
181.440203,3.002593
182.109724,3.117272
182.779245,2.878381
183.448766,2.749320
184.118287,2.766670
184.787808,2.965323
185.457329,3.104771
186.126850,3.309376
186.796371,3.375345
187.465892,3.009002
188.135413,3.199167
188.804934,3.211808
189.474455,3.060966
190.143976,2.927143
190.813498,2.921975
191.483019,2.912637
192.152540,2.841619
192.822061,2.546386
193.491582,2.427253
194.161103,2.466091
194.830624,2.645243
195.500145,2.619889
196.169666,2.651889
196.839187,2.734593
197.508708,2.867852
198.178229,2.745213
198.847750,2.697895
199.517271,2.703490
200.186792,2.711185
200.856313,2.754965
201.525834,2.742496
202.195355,2.669447
202.864876,2.559704
203.534397,2.662431
204.203918,2.733500
204.873439,2.730247
205.542960,2.928022
206.212482,2.964616
206.882003,3.008083
207.551524,3.155473
208.221045,3.125231
208.890566,3.139130
209.560087,3.208727
210.229608,3.355404
210.899129,3.336334
211.568650,3.340837
212.238171,3.276719
212.907692,2.878686
213.577213,2.945695
214.246734,2.890424
214.916255,2.708770
215.585776,2.967043
216.255297,2.787112
216.924818,2.669357
217.594339,2.797379
218.263860,2.794908
218.933381,2.684130
219.602902,2.541068
220.272423,2.424231
220.941944,2.549221
221.611466,2.502992
222.280987,2.406770
222.950508,2.466719
223.620029,2.517365
224.289550,2.497010
224.959071,2.451545
225.628592,2.553200
226.298113,2.468113
226.967634,2.439974
227.637155,2.539186
228.306676,2.779927
228.976197,2.888187
229.645718,2.993033
230.315239,3.156842
230.984760,3.084847
231.654281,2.997500
232.323802,2.974463
232.993323,3.112665
233.662844,3.131343
234.332365,3.158624
235.001886,3.156631
235.671407,3.021409
236.340929,2.824231
237.010450,2.779119
237.679971,2.866833
238.349492,2.832279
239.019013,2.881925
239.688534,2.908018
240.358055,2.881458
241.027576,2.951074
241.697097,3.038809
242.366618,3.139062
243.036139,3.248867
243.705660,3.078784
244.375181,3.154975
245.044702,3.315233
245.714223,3.319228
246.383744,3.501345
247.053265,3.570262
247.722786,3.537210
248.392307,3.512150
249.061828,3.454381
249.731349,3.638967
250.400870,4.023101
251.070391,3.851525
251.739913,4.068876
252.409434,4.202915
253.078955,4.037950
253.748476,4.263672
254.417997,4.389636
255.087518,4.483318
255.757039,4.608873
256.426560,4.580526
257.096081,4.459129
257.765602,4.325427
258.435123,4.335170
259.104644,4.304193
259.774165,4.270397
260.443686,4.225634
261.113207,4.111219
261.782728,3.968682
262.452249,3.851524
263.121770,3.786325
263.791291,3.845477
264.460812,3.603726
265.130333,3.424305
265.799854,3.553955
266.469375,3.429340
267.138897,3.208707
267.808418,3.038431
268.477939,3.127120
269.147460,3.106395
269.816981,3.127451
270.486502,3.130266
271.156023,2.913764
271.825544,2.892316
272.495065,2.928407
273.164586,2.958375
273.834107,2.786468
274.503628,2.884568
275.173149,2.948714
275.842670,2.834026
276.512191,2.493332
277.181712,2.593025
277.851233,2.699349
278.520754,2.415856
279.190275,2.241575
279.859796,2.176689
280.529317,2.269724
281.198838,2.632146
281.868359,2.481472
282.537881,2.496032
283.207402,2.635158
283.876923,2.410270
284.546444,2.327964
285.215965,2.321316
285.885486,2.365249
286.555007,2.398770
287.224528,2.288458
287.894049,2.228662
288.563570,2.340162
289.233091,2.442509
289.902612,2.405345
290.572133,2.367436
291.241654,2.502492
291.911175,2.386180
292.580696,2.202334
293.250217,2.065774
293.919738,2.233317
294.589259,2.210382
295.258780,2.225754
295.928301,2.314606
296.597822,2.421583
297.267344,2.696542
297.936865,3.045510
298.606386,3.411769
299.275907,3.476121
299.945428,3.291338
300.614949,3.058248
301.284470,2.938436
301.953991,2.942578
302.623512,2.840173
303.293033,2.658201
303.962554,2.439148
304.632075,2.679250
305.301596,2.677777
305.971117,2.461691
