x,z
0.000000,6.020926
0.669523,6.019847
1.339045,6.086984
2.008568,6.188824
2.678090,6.281340
3.347613,6.304776
4.017135,6.311621
4.686658,6.368781
5.356180,6.657512
6.025703,6.664535
6.695226,6.508502
7.364748,6.335722
8.034271,6.884660
8.703793,6.936773
9.373316,6.763060
10.042838,6.513218
10.712361,6.912385
11.381884,7.060921
12.051406,7.062573
12.720929,6.998620
13.390451,6.856591
14.059974,6.633704
14.729496,6.464118
15.399019,6.612045
16.068541,6.748547
16.738064,6.853748
17.407587,6.846825
18.077109,6.417287
18.746632,6.477034
19.416154,6.586281
20.085677,6.630948
20.755199,6.848004
21.424722,7.041070
22.094244,7.044006
22.763767,6.740976
23.433290,6.683745
24.102812,6.438331
24.772335,6.305496
25.441857,6.691261
26.111380,6.601830
26.780902,6.414491
27.450425,6.264620
28.119947,6.428446
28.789470,6.223769
29.458993,5.985347
30.128515,5.811152
30.798038,5.854510
31.467560,6.141880
32.137083,6.352578
32.806605,6.357140
33.476128,6.398427
34.145651,6.526391
34.815173,6.682750
35.484696,6.820270
36.154218,7.375273
36.823741,7.602881
37.493263,7.608861
38.162786,7.579503
38.832308,7.880717
39.501831,7.847375
40.171354,7.583796
40.840876,7.728160
41.510399,8.008368
42.179921,8.090196
42.849444,7.896167
43.518966,7.636753
44.188489,7.754479
44.858011,8.033028
45.527534,8.345304
46.197057,8.073174
46.866579,8.140456
47.536102,8.390522
48.205624,8.662043
48.875147,8.676197
49.544669,8.774868
50.214192,8.977022
50.883715,9.289327
51.553237,8.796708
52.222760,8.515430
52.892282,8.566299
53.561805,8.614742
54.231327,8.535854
54.900850,8.539360
55.570372,8.661069
56.239895,8.217387
56.909418,8.043285
57.578940,7.901228
58.248463,7.608436
58.917985,7.425663
59.587508,7.250327
60.257030,7.155517
60.926553,7.270893
61.596075,7.483912
62.265598,7.729140
62.935121,7.928497
63.604643,7.853562
64.274166,7.933687
64.943688,8.122665
65.613211,8.398603
66.282733,8.676603
66.952256,8.513388
67.621778,8.407964
68.291301,8.610166
68.960824,8.531106
69.630346,8.408565
70.299869,8.359657
70.969391,8.518960
71.638914,8.713306
72.308436,8.822598
72.977959,8.933544
73.647482,9.244674
74.317004,9.068088
74.986527,8.773629
75.656049,8.465565
76.325572,8.328117
76.995094,8.152449
77.664617,8.036223
78.334139,8.012927
79.003662,8.032581
79.673185,8.031153
80.342707,8.214251
81.012230,8.743928
81.681752,8.803864
82.351275,9.016353
83.020797,9.215744
83.690320,9.156297
