x,z
0.000000,26.210989
0.670947,26.065216
1.341894,25.938953
2.012841,25.945204
2.683788,26.253984
3.354735,26.153036
4.025682,26.144791
4.696629,26.172691
5.367577,25.998995
6.038524,26.130583
6.709471,26.299955
7.380418,26.433378
8.051365,26.425909
8.722312,26.380251
9.393259,26.378954
10.064206,26.463476
10.735153,26.725039
11.406100,26.872301
12.077047,26.783770
12.747994,26.362759
13.418941,26.374903
14.089888,26.496557
14.760836,26.591248
15.431783,26.478764
16.102730,26.559753
16.773677,26.460352
17.444624,26.240616
18.115571,26.090479
18.786518,26.259806
19.457465,26.348372
20.128412,26.339846
20.799359,26.486109
21.470306,26.557011
22.141253,26.647261
22.812200,26.776581
23.483147,26.790712
24.154094,26.769997
24.825042,26.633329
25.495989,26.326767
26.166936,26.473839
26.837883,26.691803
27.508830,26.854210
28.179777,26.799795
28.850724,26.891176
29.521671,26.952778
30.192618,26.965630
30.863565,26.905899
31.534512,26.988134
32.205459,27.034601
32.876406,26.992630
33.547353,26.764257
34.218301,26.855728
34.889248,26.979904
35.560195,27.049658
36.231142,27.146835
36.902089,27.283247
37.573036,27.461622
38.243983,27.683512
38.914930,27.806143
39.585877,27.870642
40.256824,27.946209
40.927771,28.113972
41.598718,28.286694
42.269665,28.387981
42.940612,28.445435
43.611559,28.520933
44.282507,28.587435
44.953454,28.698698
45.624401,28.887577
46.295348,29.255539
46.966295,29.307871
47.637242,29.356434
48.308189,29.494877
48.979136,29.673016
49.650083,29.701176
50.321030,29.669392
50.991977,29.625385
51.662924,29.551197
52.333871,29.473969
53.004818,29.310093
53.675766,28.958513
54.346713,28.790815
55.017660,28.785784
55.688607,28.804020
56.359554,28.572603
57.030501,28.629467
57.701448,28.718801
58.372395,28.778666
59.043342,28.717085
59.714289,28.627974
60.385236,28.747782
61.056183,29.087320
61.727130,29.127134
62.398077,29.261482
63.069024,29.281227
63.739972,29.080482
64.410919,29.196730
65.081866,29.360413
65.752813,29.491659
66.423760,29.504889
67.094707,29.509304
67.765654,29.542978
68.436601,29.510660
69.107548,29.220648
69.778495,29.270350
70.449442,29.150322
71.120389,28.934589
71.791336,29.121183
72.462283,29.257757
73.133231,29.402035
73.804178,29.535053
74.475125,29.400188
75.146072,29.532955
75.817019,29.612753
76.487966,29.484045
77.158913,29.552053
77.829860,29.541008
78.500807,29.518593
79.171754,29.549215
79.842701,29.684359
80.513648,29.721771
81.184595,29.727232
81.855542,29.827375
82.526489,30.025541
83.197437,30.253853
83.868384,30.473007
84.539331,30.579653
85.210278,30.590250
85.881225,30.602369
86.552172,30.650784
87.223119,30.793766
87.894066,30.874975
88.565013,30.847744
89.235960,30.694046
89.906907,30.666306
90.577854,30.962488
91.248801,31.244753
91.919748,31.202461
92.590696,31.164536
93.261643,31.191063
93.932590,31.202597
94.603537,31.059193
95.274484,31.030830
95.945431,30.921013
96.616378,30.773924
97.287325,30.795467
97.958272,30.487373
98.629219,30.276581
99.300166,30.251629
99.971113,30.284925
100.642060,30.288151
101.313007,30.303062
101.983954,30.355574
102.654902,30.536242
103.325849,30.582571
103.996796,30.615904
104.667743,30.739630
105.338690,30.717409
106.009637,30.741735
106.680584,30.755157
107.351531,30.657434
108.022478,30.867018
108.693425,30.789877
109.364372,30.592476
110.035319,30.941488
110.706266,31.066828
111.377213,31.108173
112.048161,31.089214
112.719108,30.961599
113.390055,31.094328
114.061002,31.212069
114.731949,31.206314
115.402896,31.322294
116.073843,31.207705
116.744790,31.036259
117.415737,30.944057
118.086684,30.909872
118.757631,30.957243
119.428578,31.017431
120.099525,30.985683
120.770472,31.009874
121.441419,31.006155
122.112367,31.001768
122.783314,31.095781
123.454261,31.152491
124.125208,31.192980
124.796155,31.228886
125.467102,31.298784
126.138049,31.226454
126.808996,31.064405
127.479943,30.853687
128.150890,30.914154
128.821837,30.781853
129.492784,30.679007
130.163731,30.778702
130.834678,30.809349
131.505626,30.988720
132.176573,31.168736
132.847520,31.132196
133.518467,31.192547
134.189414,31.242701
134.860361,31.289785
135.531308,31.377167
136.202255,31.414463
136.873202,31.483122
137.544149,31.581976
138.215096,31.617859
138.886043,31.646900
139.556990,31.540344
140.227937,31.276012
140.898884,31.301105
141.569832,31.261417
142.240779,31.209879
142.911726,31.183762
143.582673,31.184059
144.253620,31.108047
144.924567,31.048172
145.595514,31.133913
146.266461,31.116125
146.937408,31.175461
147.608355,31.283569
148.279302,31.338959
148.950249,31.366116
149.621196,31.417545
150.292143,31.492609
150.963091,31.539593
151.634038,31.400139
152.304985,31.280743
152.975932,31.264015
153.646879,31.387053
154.317826,31.262224
154.988773,31.060169
155.659720,30.895348
156.330667,31.228432
157.001614,31.370399
157.672561,31.447670
158.343508,31.617041
159.014455,31.916685
159.685402,32.070000
160.356349,32.125668
161.027297,32.233677
161.698244,32.364223
162.369191,32.434574
163.040138,32.429768
163.711085,32.347889
164.382032,32.289867
165.052979,32.325981
165.723926,32.454075
166.394873,32.356480
167.065820,32.300407
167.736767,32.305851
168.407714,32.389290
169.078661,32.432537
169.749608,32.353996
170.420556,32.187843
171.091503,31.966124
171.762450,31.971918
172.433397,32.021229
173.104344,32.057480
173.775291,31.979223
174.446238,32.313530
175.117185,32.433357
175.788132,32.331936
176.459079,32.423241
177.130026,32.554245
177.800973,32.614014
178.471920,32.580265
179.142867,32.619347
179.813814,32.668262
180.484762,32.709473
181.155709,32.733688
181.826656,32.871899
182.497603,33.037327
183.168550,33.179268
183.839497,33.236637
184.510444,33.380783
185.181391,33.457382
185.852338,33.454472
186.523285,33.355190
187.194232,33.280025
187.865179,33.205433
188.536126,33.160023
189.207073,33.273148
189.878021,33.130135
190.548968,33.024662
191.219915,33.032490
191.890862,32.990051
192.561809,32.897335
193.232756,32.914726
193.903703,33.136917
194.574650,33.275928
195.245597,33.502224
195.916544,33.738083
196.587491,33.899784
197.258438,33.941662
197.929385,33.972721
198.600332,34.019241
199.271279,34.124542
199.942227,34.108124
200.613174,34.139908
201.284121,34.188843
201.955068,34.046535
202.626015,33.806190
203.296962,33.726955
203.967909,33.846695
204.638856,33.811848
205.309803,33.726524
205.980750,33.688099
206.651697,33.749229
207.322644,33.771755
207.993591,33.816399
208.664538,33.864346
209.335486,33.896870
210.006433,34.042549
210.677380,33.959442
211.348327,33.787514
212.019274,33.807205
212.690221,33.991264
213.361168,33.983051
214.032115,33.815052
214.703062,33.760078
215.374009,33.782059
216.044956,33.697266
216.715903,33.517467
217.386850,33.722809
218.057797,33.882080
218.728744,33.965103
219.399692,33.961807
220.070639,34.139854
220.741586,34.136822
221.412533,34.016560
222.083480,33.828167
222.754427,33.854309
223.425374,33.944901
224.096321,34.014320
224.767268,33.915455
225.438215,33.948242
226.109162,33.915142
226.780109,33.826950
227.451056,33.796791
228.122003,33.678146
228.792951,33.533459
229.463898,33.428753
230.134845,33.698833
230.805792,33.745697
231.476739,33.714462
232.147686,33.679115
232.818633,33.782661
233.489580,33.830746
234.160527,33.851421
234.831474,33.867466
235.502421,33.774265
236.173368,33.720409
236.844315,33.710724
237.515262,33.752678
238.186209,33.895351
238.857157,33.838272
239.528104,33.643970
240.199051,33.604446
240.869998,33.710373
241.540945,33.787334
242.211892,33.795494
242.882839,33.763897
243.553786,33.690525
244.224733,33.689896
244.895680,33.810863
245.566627,33.882931
246.237574,33.932938
246.908521,33.910049
247.579468,33.763081
248.250416,33.949188
248.921363,34.068020
249.592310,34.176010
250.263257,34.375858
250.934204,34.778618
251.605151,34.998577
252.276098,35.089504
252.947045,35.317753
253.617992,35.421318
254.288939,35.478531
254.959886,35.492897
255.630833,35.379555
256.301780,35.230240
256.972727,35.010616
257.643675,34.720528
258.314622,34.656616
258.985569,34.429771
259.656516,34.154366
260.327463,33.919296
260.998410,33.701931
261.669357,33.614395
262.340304,33.600857
263.011251,33.582066
263.682198,33.425888
264.353145,33.369160
265.024092,33.431313
265.695039,33.614773
266.365986,33.607212
267.036933,33.660164
267.707881,33.787113
268.378828,33.755329
269.049775,33.792309
269.720722,33.809116
270.391669,33.771523
271.062616,33.744766
271.733563,33.814945
272.404510,33.947304
273.075457,34.120548
273.746404,34.222061
274.417351,34.316772
275.088298,34.400890
275.759245,34.466866
276.430192,34.566036
277.101140,34.515648
277.772087,34.428318
278.443034,34.638206
279.113981,34.503159
279.784928,34.392372
280.455875,34.389587
281.126822,34.531181
281.797769,34.402206
282.468716,34.342323
283.139663,34.467907
283.810610,34.493797
284.481557,34.485352
285.152504,34.534462
285.823451,34.711960
286.494398,34.903175
287.165346,35.007000
287.836293,35.029507
288.507240,34.969757
289.178187,34.821121
289.849134,34.772091
290.520081,34.793945
291.191028,34.786167
291.861975,34.559845
292.532922,34.416473
293.203869,34.380909
293.874816,34.292030
294.545763,34.427902
295.216710,34.532940
295.887657,34.525620
296.558605,34.591694
297.229552,34.709385
297.900499,34.854221
298.571446,35.010429
299.242393,35.002537
299.913340,35.072849
300.584287,35.170849
301.255234,35.233875
301.926181,35.191772
302.597128,35.082882
303.268075,34.972397
303.939022,35.007233
304.609969,34.849350
305.280916,34.710968
305.951863,34.620518
306.622811,34.533264
307.293758,34.396614
307.964705,34.160847
308.635652,33.832977
309.306599,33.704220
309.977546,33.710278
310.648493,33.703323
311.319440,33.589531
311.990387,33.640152
312.661334,33.721699
313.332281,33.734516
314.003228,33.548431
314.674175,33.443611
315.345122,33.389671
316.016070,33.353844
316.687017,33.269531
317.357964,33.394909
318.028911,33.557320
318.699858,33.730423
319.370805,33.927746
320.041752,34.096855
320.712699,34.229198
321.383646,34.325485
322.054593,34.433846
322.725540,34.435379
323.396487,34.389759
324.067434,34.330807
324.738381,34.280098
325.409328,34.073727
326.080276,33.843391
326.751223,33.739273
327.422170,33.411522
328.093117,33.190773
328.764064,33.019386
329.435011,32.742302
330.105958,32.578480
330.776905,32.459648
331.447852,32.396679
332.118799,32.479195
332.789746,32.233974
333.460693,32.034801
334.131640,32.003082
334.802587,32.141735
335.473535,32.202354
336.144482,32.253040
336.815429,32.335304
337.486376,32.541237
338.157323,32.549068
338.828270,32.587406
339.499217,32.909538
340.170164,32.979950
340.841111,33.100391
341.512058,33.266140
342.183005,33.443562
342.853952,33.440899
343.524899,33.443554
344.195846,33.454659
344.866793,33.383896
345.537741,33.281406
346.208688,33.281929
346.879635,33.383591
347.550582,33.231777
348.221529,33.284195
348.892476,33.324471
349.563423,33.233498
350.234370,33.070194
350.905317,32.979328
351.576264,32.919750
352.247211,32.852909
352.918158,32.946941
353.589105,33.065990
354.260052,33.174286
354.931000,33.213169
355.601947,33.218151
356.272894,33.359020
356.943841,33.644432
357.614788,34.035259
358.285735,34.147038
358.956682,34.276691
359.627629,34.479874
360.298576,34.546062
360.969523,34.407944
361.640470,34.346436
362.311417,34.500130
362.982364,34.512775
363.653311,34.500763
364.324258,34.483932
364.995206,34.480717
365.666153,34.638004
366.337100,34.758507
367.008047,34.853065
367.678994,34.949780
368.349941,34.963692
369.020888,35.039001
369.691835,35.151035
370.362782,35.160164
371.033729,35.148571
371.704676,35.098614
372.375623,35.006268
373.046570,34.881924
373.717517,34.933449
374.388465,35.044064
375.059412,35.166779
375.730359,35.458607
376.401306,35.752941
377.072253,35.989788
377.743200,36.108536
378.414147,36.065281
379.085094,36.021629
379.756041,35.939346
380.426988,35.740627
381.097935,35.590622
381.768882,35.386551
382.439829,35.137997
383.110776,34.907619
383.781723,34.691959
384.452671,34.651363
385.123618,34.778595
385.794565,34.757271
386.465512,34.799816
387.136459,34.869915
387.807406,34.950348
388.478353,35.008427
389.149300,35.162609
389.820247,35.242138
390.491194,35.092072
391.162141,35.069679
391.833088,34.902927
392.504035,34.626926
393.174982,34.293972
393.845930,34.099144
394.516877,33.985519
395.187824,33.910534
395.858771,33.770569
396.529718,33.570816
397.200665,33.281784
397.871612,32.984024
398.542559,33.197029
399.213506,33.100517
399.884453,32.901520
400.555400,32.695744
401.226347,32.622669
401.897294,32.719017
402.568241,32.862366
403.239188,32.957401
403.910136,33.221985
404.581083,33.285557
405.252030,33.276085
405.922977,33.388012
406.593924,33.472294
407.264871,33.639927
407.935818,33.826149
408.606765,33.820648
409.277712,33.697716
409.948659,33.758873
410.619606,33.982780
411.290553,33.878670
411.961500,33.687267
412.632447,33.562164
413.303395,33.564190
413.974342,33.579456
414.645289,33.701885
415.316236,33.855335
415.987183,33.984375
416.658130,34.123310
417.329077,34.013161
418.000024,33.827793
418.670971,33.813419
419.341918,33.378929
420.012865,33.231960
420.683812,33.288296
421.354759,33.183846
422.025706,32.953674
422.696653,32.705349
423.367601,32.465305
424.038548,32.254211
424.709495,32.147923
425.380442,31.989178
426.051389,31.735270
426.722336,31.668211
427.393283,31.530514
428.064230,31.429035
428.735177,31.444212
