x,z
0.000000,34.830322
0.669523,35.225262
1.339045,35.423836
2.008568,35.514202
2.678090,35.609875
3.347613,35.805275
4.017135,35.936584
4.686658,35.941216
5.356180,35.668789
6.025703,35.616043
6.695226,35.738396
7.364748,35.954231
8.034271,35.813496
8.703793,35.705719
9.373316,35.643726
10.042838,35.628616
10.712361,35.495541
11.381884,35.598694
12.051406,35.789047
12.720929,35.934574
13.390451,35.856209
14.059974,35.864685
14.729496,35.862495
15.399019,35.640427
16.068541,35.527149
16.738064,35.444981
17.407587,35.375751
18.077109,35.293011
18.746632,35.242157
19.416154,35.447060
20.085677,35.922276
20.755199,36.049160
21.424722,36.149403
22.094244,36.247925
22.763767,36.363827
23.433290,36.781483
24.102812,36.951851
24.772335,36.986252
25.441857,37.012440
26.111380,36.884144
26.780902,36.711704
27.450425,36.560242
28.119947,36.577545
28.789470,36.550228
29.458993,36.409290
30.128515,36.189911
30.798038,36.167618
31.467560,36.072971
32.137083,36.076702
32.806605,36.250103
33.476128,36.447159
34.145651,36.799728
34.815173,37.142620
35.484696,37.332600
36.154218,37.563133
36.823741,37.744949
37.493263,37.782139
38.162786,37.491444
38.832308,37.462765
39.501831,37.397228
40.171354,37.269981
40.840876,37.121677
41.510399,37.195057
42.179921,37.154938
42.849444,36.957180
43.518966,37.057755
44.188489,37.261120
44.858011,37.512180
45.527534,37.778717
46.197057,37.874062
46.866579,38.051983
47.536102,38.190014
48.205624,38.138325
48.875147,38.520840
49.544669,38.683861
50.214192,38.680271
50.883715,38.709251
51.553237,38.840504
52.222760,38.696972
52.892282,38.323307
53.561805,38.278305
54.231327,38.114517
54.900850,37.927834
55.570372,37.752205
56.239895,37.548763
56.909418,37.576107
57.578940,37.572029
58.248463,37.328579
58.917985,37.154949
59.587508,37.254936
60.257030,37.483036
60.926553,37.619770
61.596075,37.842552
62.265598,37.970604
62.935121,38.042000
63.604643,38.234085
64.274166,38.441349
64.943688,38.424892
65.613211,38.173012
66.282733,38.084988
66.952256,38.148167
67.621778,38.163425
68.291301,38.036263
68.960824,38.197739
69.630346,38.301685
70.299869,38.414524
70.969391,38.608665
71.638914,38.226955
72.308436,37.996689
72.977959,37.950684
73.647482,38.105610
74.317004,37.976624
74.986527,37.922020
75.656049,37.970490
76.325572,37.989765
76.995094,38.169384
77.664617,38.429737
78.334139,38.698460
79.003662,38.453606
79.673185,38.677822
80.342707,38.960575
81.012230,39.015766
81.681752,38.889038
82.351275,38.917263
83.020797,38.976376
83.690320,38.887749
84.359842,38.991177
85.029365,38.990520
85.698888,38.921303
86.368410,38.957802
87.037933,38.883102
87.707455,38.955849
88.376978,39.183647
89.046500,39.215557
89.716023,39.379890
90.385546,39.450665
